LOC_CODE;LOCATION_TYPE;LOCATION_NAME;DIS_CODE;DISTRICT;REG_CODE;REGION
L13384;х.;Посада;D022;Вороновский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L18928;д.;Посадец;D066;Логойский;R06;МИНСКАЯ ОБЛАСТЬ
L11521;д.;Поселичи;D115;Хойникский;R03;ГОМЕЛЬСКАЯ ОБЛАСТЬ
L13511;х.;Поселище;D089;Островецкий;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L03223;д.;Поселок Абабье;D010;Браславский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L18583;д.;Посемковичи;D061;Крупский;R06;МИНСКАЯ ОБЛАСТЬ
L02098;д.;Посеничи;D092;Пинский;R01;БРЕСТСКАЯ ОБЛАСТЬ
L11867;п.;Поскубовка;D121;Чечерский;R03;ГОМЕЛЬСКАЯ ОБЛАСТЬ
L03224;х.;Поснудье;D010;Браславский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L12863;х.;Посоли;D046;Ивьевский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L13405;д.;Посольч;D022;Вороновский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L24730;д;Посопово;D081;Мядельский;R06;МИНСКАЯ ОБЛАСТЬ
L13730;д.;Поставки;D022;Вороновский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L06174;г.;Поставы;D094;Поставский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L17766;д.;Постарини-III;D107;Сморгонский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L17429;д.;Постарини-1;D107;Сморгонский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L17430;д.;Постарини-2;D107;Сморгонский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L00024;д.;Постаринье;D001;Барановичский;R01;БРЕСТСКАЯ ОБЛАСТЬ
L00135;д.;Постолово;D004;Березовский;R01;БРЕСТСКАЯ ОБЛАСТЬ
L08999;д.;Постолы;D041;Житковичский;R03;ГОМЕЛЬСКАЯ ОБЛАСТЬ
L20518;д.;Постраш;D007;Бобруйский;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
