LOC_CODE;LOCATION_TYPE;LOCATION_NAME;DIS_CODE;DISTRICT;REG_CODE;REGION
L14139;д.;Попелище;D089;Островецкий;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L03833;д.;Попелы;D024;Глубокский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L13799;д.;Попельники;D046;Ивьевский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L16537;д.;Попережье;D008;Борисовский;R06;МИНСКАЯ ОБЛАСТЬ
L24280;д.;Попехинка;D051;Климовичский;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
L00971;д.;Попина;D036;Дрогичинский;R01;БРЕСТСКАЯ ОБЛАСТЬ
L13857;д.;Попишки;D089;Островецкий;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L05886;д.;Попки;D074;Миорский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L12290;д.;Попковичи;D084;Новогрудский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L22720;д.;Попковка;D028;Горецкий;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
L05236;д.;Поплавки;D063;Лепельский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L11889;д.;Поплавцы;D005;Берестовицкий;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L23107;д.;Поплавщина;D076;Могилевский;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
L15888;аг.;Поплавы;D003;Березинский;R06;МИНСКАЯ ОБЛАСТЬ
L15198;д.;Поплово;D125;Щучинский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L26359;х;Поплоцк;D089;Островецкий;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L16061;д.;Поповичи;D073;Минский;R06;МИНСКАЯ ОБЛАСТЬ
L05525;д.;Поповка;D087;Оршанский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L06990;д.;Поповцы;D094;Поставский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L01874;д.;Поповщина;D006;Бешенковичский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L08694;д.;Попсуевка;D016;Ветковский;R03;ГОМЕЛЬСКАЯ ОБЛАСТЬ
L16376;д.;Порадовщина;D078;Молодечненский;R06;МИНСКАЯ ОБЛАСТЬ
L13731;д.;Порадунь;D022;Вороновский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L13227;д.;Поракити;D089;Островецкий;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L10451;д.;Поречаны;D064;Лидский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L02136;д.;Поречье;D092;Пинский;R01;БРЕСТСКАЯ ОБЛАСТЬ
L19240;д.;Поричи;D021;Воложинский;R06;МИНСКАЯ ОБЛАСТЬ
L17018;д.;Поровичи;D078;Молодечненский;R06;МИНСКАЯ ОБЛАСТЬ
L07404;д.;Поровно;D114;Ушачский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L26204;д.;Пороевка;D117;Чаусский;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
L10823;гп;Порозово;D101;Свислочский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L09713;д.;Поройсть;D022;Вороновский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L10759;д.;Поросли;D064;Лидский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L26228;д.;Порослище;D086;Октябрьский;R03;ГОМЕЛЬСКАЯ ОБЛАСТЬ
L00105;д.;Порослово;D004;Березовский;R01;БРЕСТСКАЯ ОБЛАСТЬ
L08904;п.;Поросль;D013;Буда-Кошелевский;R03;ГОМЕЛЬСКАЯ ОБЛАСТЬ
L20483;п.;Поросля;D007;Бобруйский;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
L01646;д.;Поросляны;D095;Пружанский;R01;БРЕСТСКАЯ ОБЛАСТЬ
L02040;д.;Поросцы;D092;Пинский;R01;БРЕСТСКАЯ ОБЛАСТЬ
L03590;д.;Поротьково;D019;Витебский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L19911;д.;Пороховка;D002;Белыничский;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
L04320;аг.;Порплище;D034;Докшицкий;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L18214;д.;Порса;D017;Вилейский;R06;МИНСКАЯ ОБЛАСТЬ
L21144;д.;Портолевка;D014;Быховский;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
L00253;д.;Поручин;D001;Барановичский;R01;БРЕСТСКАЯ ОБЛАСТЬ
L01875;д.;Поручники;D006;Бешенковичский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L07259;д.;Поршни;D102;Сенненский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L06680;д.;Посад;D102;Сенненский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
