product,vendor code,code,group code,main provider,main manufacturer,tax,country-provider,discount,price
Ступица задняя (пара),8051,1235,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,,7
Ступица передняя (пара),8052,1236,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,,1.06
Болты передних нижних рычагов (4шт.),8054,1237,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,6,1.85
Шестерня дифференциала (пиньон) (пара),8060,1238,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,,136.35
Хекс 17мм (ступица колеса) в сборе (4 шт.),8068,1239,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,,3.58
"Винт стопорный (набор) M3x3, M4x4, M5x4, M4x10",8084,1240,"Винты(в т.ч. стопорные), болты",XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,5,4.2
Держатель двигателя (моторама),8090,1241,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,5,32.1
Приемник пульта управления,8097,1242,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,,1.18
Крепёж аккумулятора,8104,1243,Аксессуары,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,1,5.18
Рычаги передние нижние (пара) (8170),8140,1244,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,,32.5
Дифференциал центральный ,8156,1245,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,,17
Карданы передние CVD,8158,1246,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,6,166.97
Полуоси (косточки) задние (пара),8159,1247,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,1,4.77
Рычаги передние верхние (пара),8160,1248,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,,27.5
Тяги рулевые горизонтальные (пара),8161,1249,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,,6.68
Рычаги задние верхние (пара),8162,1250,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,5,31.23
Стойки центрального дифференциала (4шт.),8166,1251,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,,1.38
Чашки центральных карданов (пара),8168,1252,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,,2.39
Рычаги задние нижние (пара),8169,1253,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,5,2.26
"Штифты рычагов (задней ступицы, С-Хаба и верхнего рычага)",8171,1254,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,6,8.35
Колесо в сборе 1/08 трагги (пара) ZD,8173,1255,"Колёса, шины, диски, вставки и аксессуары",XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,1,5.18
Укрепление шасси и подвески,8176,1256,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,,30
Держатель рычагов задних верхних,8177,1257,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,,17
Кожух приемника,8181,1258,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,5,31.23
Держатели сервопривода,8183,1259,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,,0.83
Держатели корпуса (4 шт.),8185,1260,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,1,6.77
Антикрыло,8216,1261,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,,5.96
Бампер передний,8217,1262,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,6,10.02
Пластина передняя,8220,1263,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,,27.5
Шестерня ведомая 60Т,8260,1264,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,,2.87
Корпус трагги черный,8285,1265,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,5,1.6
Стопоры в CVD,8313,1266,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,5,37.5
Амортизаторы передние (пара),8317,1267,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,,0.83
Амортизаторы задние (пара),8318,1268,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,1,4.37
Кожух дифференциала,8321,1269,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,,21
Шарик (шарнир) (набор),8322,1270,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,,30
Корпус редуктора дифференциала,8323,1271,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,,17
"Болты '3 x 6, 3 x 8, 3 x 10, 4 х 6 (набор)",8326,1272,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,1,7.95
"Болты 3 x 8, 3 x 12, 3 x 16 (набор)",8327,1273,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,,143.5
"Болты '3 x 22, 3 x 24, 3 x 26 (набор)",8328,1274,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,,1.2
"Болты '3x 16, 2.5 x 8 (набор)",8329,1275,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,5,37.5
Шестерня ведущая(пиньон) 16Т/5mm/M1 ZD Racing,8851,1276,Шестерни (пиньоны),XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,6,7.52
Шестерня дифференциала 38Т (8215),8853,1277,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,5,4.33
Jan-16,,1278,ZD Racing,,,,,,3.38
Корпус дифференциала,6013,1279,Jan-16,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,1,4.77
Дифференциал,6014,1280,Jan-16,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,,30
Шестерня дифференциала 14Т,6019,1281,Jan-16,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,,1.91
Дифференциал центральный в сборе,6020,1282,Jan-16,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,,17
Шестерня дифференциала 36Т,6021,1283,Jan-16,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,5,37.5
Чашка дифференциала (6 шт.),6024,1284,Jan-16,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,6,2.63
