S_NUMBER;C_CODE;Location_DESC;Latitude;Longitude;ROAD1;ROAD2;DT;DT2;AI92;BN92;AI95;GPL;AI98
36;BY;г. Бобруйск, 5-ый км. Светлогорское шоссе;53.081824;29.233442;;;1;0;1;0;1;0;0,,,,,
36;BY;г.п. Корма, ул. Ленина, 51;53.136630;30.802693;;;1;0;1;0;1;0;0,,,,
36;BY;Брестская область, Ивацевичский район, 148 км (право) автомобильной дороги Р-44 Гродно-Ружаны-Ивацевичи;Брестская обл., Пинский р-н, Р-147, 27-й км северо-восточнее д. Невель;52.74719;25.17168;Р-44;;1;0;1;0;0;0;0,
36;BY;г. Минск, ул. Стебенева, 3;53.834316;27.554433;М-9;;1;0;1;0;1;0;0,,,,
36;BY;д. Фролковичи;55.207852;29.228086;Р-114;;1;0;1;0;1;0;0,,,,,,
36;BY;г. Слоним, ул. Брестская;53.075556;25.276667;Р-85;;1;1;1;0;1;1;0,,,,,
37;BY;Козенский с/с., д. Наровчизна, ул. Сузько М.И., 40;52.021279;29.208011;Р-36;;1;0;0;1;1;0;0,,,
37;BY;д. Сорочино;55.199122;28.756905;Р-46;;1;0;1;0;1;0;0,,,,,,
37;BY;г. Могилев, ул.Челюскинцев, 8;53.893278;30.325111;;;1;0;0;1;1;0;0,,,,
37;BY;г. Молодечно, ул. Я. Купалы;54.308688;26.904012;;;1;0;1;0;1;1;0,,,,,
37;BY;а/д Минск-Гродно, 11км., право;53.912055;27.398829;М-6;М-9;1;0;0;1;1;1;0,,,,
37;BY;г. Сморгонь, ул. Железнодорожная, 9;54.471944;26.373611;;;1;0;1;0;0;0;0,,,,
38;BY;Боровухский с/с, в р-не д. Чернещино;55.504921;28.739658;Р-20;;1;0;1;1;1;1;0,,,,,
38;BY;д. Будёновка;54.426667;25.905556;;;1;1;1;0;1;1;0,,,,,,
38;BY;г. Рогачев, ул. Пушкина, 69Ж;53.102947;30.045083;Р-36;;1;0;1;0;1;0;0,,,,
38;BY;57-й км а/д Минск-Гродно;54.051493;26.770348;М-6;;1;0;1;0;1;1;0,,,,,,
