Код;Кол-во;Наименование;Автор;ISBN;Вес шт.(кг);Описание;Направление;Ссылка на cайт;Цена без скидки;Акционная скидка;Скидка корпоративная;Итоговая скидка;Итоговая цена;Стоимость;;
00000014491;0;Желейчики на стройке;Януш Выжиковски;978-5-00100-515-5;0,64;;Детские книги;https://www.mann-ivanov-ferber.ru/books/zhelejchiki-na-strojke/?buytab=paperbook;1000,00;30%;т ты меня;50%;500,00;0,00;700;
00000014216;0;Как запоминать (почти) всё и всегда;Роб Иставэй;978-5-00100-748-7;0,31;Хитрости и лайфхаки для прокачки вашей памяти;Cаморазвитие;https://www.mann-ivanov-ferber.ru/books/kak-zapominat-pochti-vsyo-i-vsegda/?buytab=paperbook;1015,00;30%;т ты меня;50%;507,50;0,00;710,5;
00000014652;0;Суперпотребители;Эдди Юн;978-5-00100-852-1;0,33;Кто это и почему они так важны для вашего бизнеса;Маркетинг;https://www.mann-ivanov-ferber.ru/books/superpotrebiteli/?buytab=paperbook;1215,00;30%;т ты меня;50%;607,50;0,00;850,5;
00000014755;0;Как есть меньше;Джиллиан Райли;978-5-00100-346-5;0,32;Преодолеваем пищевую зависимость;Здоровый образ жизни;https://www.mann-ivanov-ferber.ru/books/kak-est-menshe/?buytab=paperbook;880,00;30%;т ты меня;50%;440,00;0,00;616;
00000014862;0;Ловушки истории;Паскаль Эделин, Бенджамин Стриклер;978-5-00100-867-5;0,60;Обучающая книга-игра;Детские книги;https://www.mann-ivanov-ferber.ru/books/lovushki-istorii/?buytab=paperbook;750,00;30%;т ты меня;50%;375,00;0,00;525;
00000014403;0;Как смотреть футбол;Рууд Гуллит;978-5-00100-703-6;0,65;Руководство диванного эксперта;Здоровый образ жизни;https://www.mann-ivanov-ferber.ru/books/kak-smotret-futbol/?buytab=paperbook;1070,00;30%;т ты меня;50%;535,00;0,00;749;
00000014550;0;Зажги себя!;Джон Рэйти, Эрик Хагерман;978-5-00100-761-6;0,66;Жизнь — в движении;Cаморазвитие;https://www.mann-ivanov-ferber.ru/books/zazhgi_sebya!/?buytab=paperbook;1015,00;30%;т ты меня;50%;507,50;0,00;710,5;
00000014251;0;Детектив Пьер распутывает дело. Стикербук;Хиро Камигаки и IC4DESIGN;978-5-00100-650-3;0,25;;Детские книги;https://www.mann-ivanov-ferber.ru/books/detektiv-per/?buytab=paperbook;630,00;30%;т ты меня;50%;315,00;0,00;441;
00000014866;0;50 приключений авантюриста;Пьердоменико Баккаларио, Томмазо Перчивале, Антон-Джоната Феррари;978-5-00100-847-7;0,27;;Детские книги;https://www.mann-ivanov-ferber.ru/books/50-priklyuchenij-avantyurista/?buytab=paperbook;870,00;30%;т ты меня;50%;435,00;0,00;609;
00000014865;0;100 способов изменить жизнь. Часть вторая;Лариса Парфентьева;978-5-00100-876-7;0,44;;Cаморазвитие;https://www.mann-ivanov-ferber.ru/books/100-sposobov-izmenit-zhizn-chast-vtoraya/?buytab=paperbook;750,00;30%;т ты меня;50%;375,00;0,00;525;
00000014861;0;Искусство дыхания;Денни Пенман;978-5-00100-783-8;0,37;Секрет осознанной жизни;Cаморазвитие;https://www.mann-ivanov-ferber.ru/books/iskusstvo-dyixaniya/?buytab=paperbook;880,00;30%;т ты меня;50%;440,00;0,00;616;
00000014647;0;Неидеальный блокнот для мечтателей;Юлия Змеева;978-5-00100-845-3;0,25;92 задания, чтобы рисовать;Творчество;https://www.mann-ivanov-ferber.ru/books/nevozmozhnyij-bloknot-dlya-vzroslyix/?buytab=paperbook;670,00;30%;т ты меня;50%;335,00;0,00;469;
00000014147;0;Инструменты маркетинга для отдела продаж;Игорь Манн, Анна Турусина, Екатерина Уколова;978-5-00100-647-3;0,39;«Оружие» для менеджеров по продажам до встречи с клиентами, на встрече и после встречи с ними;Маркетинг;https://www.mann-ivanov-ferber.ru/books/marketingovyij-chemodanchik/?buytab=paperbook;920,00;30%;т ты меня;50%;460,00;0,00;644;
